id,name,price,Is_discontinued,manufacturer_name,type,pack_size_label,short_composition1,short_composition2,salt_composition,medicine_desc,side_effects,drug_interactions
192070,RF 300mg Tablet,29.95,FALSE,Sunij Pharma Pvt Ltd,allopathy,strip of 10 tablets,Rifampicin (300mg),,,,,
144893,Meliglip M1 Tablet SR,75,FALSE,Astranova Biotech,allopathy,strip of 15 tablet sr,Glimepiride (1mg) , Metformin (500mg),,,,
194865,Relicef CV 200mg/125mg Tablet,150,FALSE,Rowlinges Life Science,allopathy,strip of 6 tablets,Cefixime (200mg) , Clavulanic Acid (125mg),,,,
160489,Noxval Chrono 200 Tablet CR,39.52,FALSE,Emenox Healthcare,allopathy,strip of 10 tablet cr,Sodium Valproate (135mg) , Valproic Acid (58mg),,,,
208885,Stenstron 4mg Tablet MD,48,FALSE,Kingsmed Pharma,allopathy,strip of 10 tablet md,Ondansetron (4mg),,,,,
71936,Damol 50mg Injection,24,FALSE,Daksh Pharma Pvt Ltd,allopathy,vial of 2 ml Injection,Tramadol (50mg/ml),,,,,
83818,Emeepod-CV Tablet,274.75,FALSE,Medcure Pharma,allopathy,strip of 6 tablets,Cefpodoxime Proxetil (200mg) , Clavulanic Acid (125mg),,,,
220784,Thyrocut 12.5 Tablet,69.75,FALSE,Care Formulation Labs Pvt Ltd,allopathy,strip of 100 tablets,Thyroxine (12.5mcg),,,,,
58590,Dosetil Cream,153,TRUE,Glenmark Pharmaceuticals Ltd,allopathy,tube of 10 gm Cream,Desonide (0.05% w/w),,Desonide (0.05% w/w),"Dosetil Cream is a topical steroid use for treatment of skin conditions with inflammation and itching. It provides relief from swelling, redness, and itching in the affected area by inhibiting the release of substances that cause inflammation.Dosetil Cream is only meant for external use and should be used as advised by your doctor. You should normally wash and dry the affected area before applying a thin layer of the medicine. Avoid any contact with your eyes, nose, or mouth. Rinse it off with plenty of water in case of accidental contact. Avoid covering the treated area with airtight dressings such as bandages unless directed by a doctor.Using of the medicine may cause burning sensation, irritation, redness, and swelling at the site of application and rash. These are temporary and usually resolve with time. However, if they persist or worsen, let your doctor know. The medicine is not recommended for pregnant women. Pregnant and breastfeeding mothers should consult their doctors before using this medicine.","Application site reactions (burning, irritation, itching and redness),Rash","{""drug"": [""Acarbose"", ""Amlodipine"", ""Aprepitant"", ""Atazanavir""], ""brand"": ["" Diadose, Abacus, Disorb"", "" Samlodon, Amodep, Amleod"", "" Aprepit, Aprepep, Fos-Aprepitant"", "" Atazor""], ""effect"": [""SERIOUS"", ""SERIOUS"", ""SERIOUS"", ""SERIOUS""]}"
29472,Benfotor Injection,100,FALSE,Cnscure India Pvt Ltd,allopathy,box of 1 Injection,Methylcobalamin (1000mcg) , Vitamin B6 (Pyridoxine) (100mg) ,,,,
91629,Fenexo 120 Tablet,93,FALSE,Ravic Healthcare,allopathy,strip of 10 tablets,Fexofenadine (120mg),,,,,
228424,Topok 100mg Injection,210,FALSE,Max India Ltd,allopathy,vial of 5 ml Injection,Etoposide (100mg),,,,,
26245,Benoquin Ointment,350,FALSE,Mac Laboratories Ltd,allopathy,tube of 20 gm Ointment,Monobenzone (20% w/w),,,,,
121994,Linzid 600mg Tablet,338,FALSE,United Biotech Pvt Ltd,allopathy,strip of 4 tablets,Linezolid (600mg),,,,,
194021,Richiresp DX Syrup,46,FALSE,Richie Laboratories Ltd,allopathy,bottle of 100 ml Syrup,Guaifenesin (100mg) , Chlorpheniramine Maleate (4mg) ,,,,
230540,Urigo 40mg Tablet,90,FALSE,Jonas Pharmaceuticals Pvt Ltd,allopathy,strip of 10 tablets,Febuxostat (40mg),,,,,
12361,Aneudox M Injection,26,FALSE,P & B Pharmaceuticals  Ltd,allopathy,vial of 3 ml Injection,Vitamin B (NA),,,,,
243070,Worma 400mg Tablet,9.89,FALSE,Vilco Laboratories Pvt Ltd,allopathy,strip of 1 Tablet,Albendazole (400mg),,,,,
56198,Chemiclo SP 100mg/325mg/10mg Tablet,72,FALSE,Alchemist Chemsynth Pharma Pvt Ltd,allopathy,strip of 10 tablets,Aceclofenac (100mg) , Paracetamol (325mg) ,,,,
63791,Drobel A 80mg/100mg Tablet,74,FALSE,Blubell Pharma,allopathy,strip of 10 tablets,Drotaverine (80mg) , Aceclofenac (100mg),,,,
188060,Rispond 3mg Tablet,71,FALSE,Micro Labs Ltd,allopathy,strip of 10 tablets,Risperidone (3mg),,,,,
6661,Atobiz MC 500mcg Injection,29.9,FALSE,Medley Pharmaceuticals,allopathy,vial of 1 ml Injection,Methylcobalamin (500mcg),,,,,
17814,Anviflox-OZ Tablet,85,FALSE,Anvicure Drugs,allopathy,strip of 10 tablets,Ofloxacin (200mg) , Ornidazole (500mg),,,,
145407,Mirise 7.5mg Tablet,35,FALSE,Sunrise Remedies Pvt Ltd,allopathy,strip of 10 tablets,Mirtazapine (7.5mg),,,,,
91931,Fuh 5mg Tablet,56,FALSE,Amra Remedies,allopathy,strip of 10 tablets,Norethisterone (5mg),,,,,
129765,Lancas D 10mg/30mg Capsule,55,FALSE,Casca Remedies Pvt Ltd,allopathy,strip of 10 capsules,Domperidone (10mg) , Lansoprazole (30mg),,,,
35634,Cmerx Eye Drop,291.5,FALSE,IRx pharmaceuticals Pvt Ltd.,allopathy,bottle of 5 ml Eye Drop,Nepafenac (0.1% w/v),,,,,
76535,Exam 50mg Tablet ER,67.88,FALSE,Altius Life Sciences,allopathy,strip of 10 tablet er,Amisulpride (50mg),,,,,
212519,Sefenec-P Oral Suspension,49,FALSE,Sevam Healthcare,allopathy,bottle of 60 ml Oral Suspension,Aceclofenac (50mg) , Paracetamol (125mg),,,,
76207,Eenac-SP Tablet,79,FALSE,Earth Biotech,allopathy,strip of 10 tablets,Aceclofenac (100mg) , Paracetamol (325mg) ,,,,
